_object	#	Assign F1	Assign F2	Pos F1	Pos F2	LW F1 (Hz)	LW F2 (Hz)	Height	S/N	Volume	ClusterId	Merit	Annotation	Comment
<PK:58-581.1.1069: @(4.673, 83.58)>	1069			4.673282422416609	83.58442654839965	8.528670057272286	75.81383874673577	18750.708984375		None	None	1.0		
<PK:58-581.1.1070: @(2.223, 83.64)>	1070			2.2232420048843533	83.64479084043636	22.130451189019706	65.67278794625967	14364.845703125		None	None	1.0		
<PK:58-581.1.1071: @(1.961, 83.58)>	1071			1.9607157444320524	83.58223798189843	12.130976523248794	143.56932967663826	11429.158203125		None	None	1.0		
<PK:58-581.1.1072: @(1.712, 83.59)>	1072			1.7121011948663156	83.5872129724493	19.037542351258843	71.98347961617749	26829.3046875		None	None	1.0		
<PK:58-581.1.1073: @(-0.293, 83.64)>	1073			-0.2929842863045309	83.64115110085535	10.118599628838576	56.28766625536939	25197.20703125		None	None	1.0		
<PK:58-581.1.1074: @(4.686, 83.57)>	1074			4.685689376748307	83.56695880379884	5.195905358936534	53.791101323271995	63854.5234375		None	None	1.0		
<PK:58-581.1.1075: @(3.819, 83.52)>	1075			3.8188827018389606	83.51766507325979	16.83190333633084	59.15237672945272	23435.34765625		None	None	1.0		
<PK:58-581.1.1076: @(3.793, 83.55)>	1076			3.7933309893900073	83.5532842882394	11.64781413255974	67.91905572153699	16498.58203125		None	None	1.0		
<PK:58-581.1.1077: @(1.765, 83.54)>	1077			1.765343486178823	83.54386883686675	19.393440407629164	112.40832836709086	16598.306640625		None	None	1.0		
<PK:58-581.1.1078: @(2.189, 83.5)>	1078			2.188688034976808	83.5044413659056	15.997945760878208	62.98437461008799	32681.638671875		None	None	1.0		
<PK:58-581.1.1079: @(2.07, 83.4)>	1079			2.0701682670260286	83.40326390435301	9.99835454142436	69.59152493590801	13071.30859375		None	None	1.0		
<PK:58-581.1.1080: @(1.779, 83.39)>	1080			1.7787090120091111	83.39244021401538	15.9562825082013	79.76846638621831	17251.80859375		None	None	1.0		
<PK:58-581.1.1081: @(6.634, 83.31)>	1081			6.633682511489929	83.31266540868378	10.701709797080493	58.47414325623293	11569.06640625		None	None	1.0		
<PK:58-581.1.1082: @(6.598, 83.28)>	1082			6.597837862809856	83.27502721695635	13.209173443894334	58.29879025416811	16573.046875		None	None	1.0		
<PK:58-581.1.1083: @(4.702, 83.25)>	1083			4.701552158137735	83.25329826146299	3.2738238447703942	30.343463964042716	25766.828125		None	None	1.0		
<PK:58-581.1.1084: @(1.882, 83.28)>	1084			1.8822438130484844	83.28338219569376	11.530074959573055	67.06885464764598	11926.6943359375		None	None	1.0		
<PK:58-581.1.1085: @(1.86, 83.27)>	1085			1.8603534041001275	83.27302434050156	11.580190263115425	63.66372755866901	11366.75390625		None	None	1.0		
<PK:58-581.1.1086: @(6.851, 83.21)>	1086			6.850651538519091	83.2065032964045	12.191999046943872	65.11292887674898	12234.578125		None	None	1.0		
<PK:58-581.1.1087: @(0.648, 83.19)>	1087			0.6483950460958159	83.18833679908553	14.210618339861028	52.09037209985733	27842.859375		None	None	1.0		
<PK:58-581.1.1088: @(2.089, 83.11)>	1088			2.0892340916632364	83.11089653624543	16.807202393045767	77.73526309625889	15233.66015625		None	None	1.0		
<PK:58-581.1.1089: @(0.725, 83.1)>	1089			0.7248045674156192	83.09701808364076	33.92023082153914	66.81303429612198	123370.9140625		None	None	1.0		
<PK:58-581.1.1090: @(6.785, 83.03)>	1090			6.785150188128531	83.03262442493136	22.126360235210377	59.73685751308305	38375.21875		None	None	1.0		
<PK:58-581.1.1091: @(6.831, 82.98)>	1091			6.831241660303127	82.98260832791104	13.716244258177564	56.79093786851804	18682.306640625		None	None	1.0		
<PK:58-581.1.1092: @(4.69, 83.0)>	1092			4.689720059993874	83.00096695539366	5.102248486274702	74.8477517414748	-65038.08984375		None	None	1.0		
<PK:58-581.1.1093: @(2.01, 82.98)>	1093			2.0100028531454424	82.98293677388915	19.330626878982905	66.25453747976171	38096.55859375		None	None	1.0		
<PK:58-581.1.1094: @(1.003, 83.0)>	1094			1.0032261032064511	83.00199200738419	17.624333476982027	65.13397636230565	13205.2275390625		None	None	1.0		
<PK:58-581.1.1095: @(0.976, 82.96)>	1095			0.976388968359089	82.95699168832377	13.643371251722156	63.43831512524017	11543.1328125		None	None	1.0		
<PK:58-581.1.1096: @(4.726, 82.85)>	1096			4.725525046941952	82.84777588713031	7.949136675168294	61.19780657862848	14373.4599609375		None	None	1.0		
<PK:58-581.1.1097: @(4.706, 82.84)>	1097			4.705688924570085	82.83663019093179	5.099250791737658	60.76858893500809	46814.38671875		None	None	1.0		
<PK:58-581.1.1098: @(7.051, 82.77)>	1098			7.050520624831882	82.77288376400278	8.294364073289879	59.623945609630574	16443.830078125		None	None	1.0		
<PK:58-581.1.1099: @(2.082, 82.78)>	1099			2.0821246067399954	82.7778748548467	13.601321440476616	71.9181993661972	26099.9609375		None	None	1.0		
<PK:58-581.1.1100: @(1.833, 82.79)>	1100			1.8332935901309604	82.78713359670037	17.644319599733112	73.48664504173082	28647.55078125		None	None	1.0		
<PK:58-581.1.1101: @(1.775, 82.77)>	1101			1.7754906774911632	82.77466445641355	29.51075573666733	67.9236887310139	52477.375		None	None	1.0		
<PK:58-581.1.1102: @(6.949, 82.67)>	1102			6.948700118533881	82.66773167677385	11.913223156275638	70.15205164433897	18456.94140625		None	None	1.0		
<PK:58-581.1.1103: @(2.161, 82.69)>	1103			2.1610352064364786	82.6922030488492	9.07078859969399	76.81543874749221	12173.193359375		None	None	1.0		
<PK:58-581.1.1104: @(1.558, 82.69)>	1104			1.5578041553946385	82.69052325160817	24.445566874092933	91.19448607421961	29310.6796875		None	None	1.0		
<PK:58-581.1.1105: @(4.694, 82.66)>	1105			4.6942400638847825	82.66029548809286	3.288131362448131	28.838872218977922	-27790.96484375		None	None	1.0		
<PK:58-581.1.1106: @(2.191, 82.65)>	1106			2.1911441952473716	82.64778985380848	16.4642936000839	58.49098933727123	13214.505859375		None	None	1.0		
<PK:58-581.1.1107: @(1.697, 82.65)>	1107			1.6972261339592354	82.64591148628658	21.790509494260302	86.198928432133	17586.42578125		None	None	1.0		
<PK:58-581.1.1108: @(1.486, 82.62)>	1108			1.4859198943398635	82.62482439580927	12.753201493372499	97.3492537090347	11295.3447265625		None	None	1.0		
<PK:58-581.1.1109: @(0.734, 82.62)>	1109			0.7335291927502414	82.6227785852397	13.495559613100973	55.90728741033961	11752.0166015625		None	None	1.0		
<PK:58-581.1.1110: @(2.106, 82.58)>	1110			2.1060305962372325	82.57556071915057	20.931798737878186	60.61573334140755	29480.296875		None	None	1.0		
<PK:58-581.1.1111: @(2.051, 82.52)>	1111			2.050735929757007	82.51807730621603	11.58787815186838	76.64371392461018	14176.5654296875		None	None	1.0		
<PK:58-581.1.1112: @(4.705, 82.4)>	1112			4.7054117702983085	82.39643100543907	5.155665208943753	63.16797531315755	-88540.2265625		None	None	1.0		
<PK:58-581.1.1113: @(1.478, 82.45)>	1113			1.4778480151004914	82.45308256989962	11.592157161197584	75.94602450911837	11761.830078125		None	None	1.0		
<PK:58-581.1.1114: @(0.913, 82.41)>	1114			0.9129932736557365	82.41304972791998	13.620835931923887	76.28447697872176	12467.349609375		None	None	1.0		
<PK:58-581.1.1115: @(0.355, 82.39)>	1115			0.3553541003210068	82.38835295174201	10.806102251920546	60.893430669267914	12577.716796875		None	None	1.0		
<PK:58-581.1.1116: @(0.309, 82.4)>	1116			0.3089126014152459	82.40224428458113	9.193810491034604	72.04767410993392	12551.7939453125		None	None	1.0		
<PK:58-581.1.1117: @(1.921, 82.36)>	1117			1.9211500607272924	82.3563101485241	6.875529204710161	55.27058917055253	13467.8251953125		None	None	1.0		
<PK:58-581.1.1118: @(4.694, 82.29)>	1118			4.69415691760325	82.29284279334122	5.720304892374528	57.55246435490999	203082.0625		None	None	1.0		
<PK:58-581.1.1119: @(1.912, 82.29)>	1119			1.9120498435691946	82.28835832505179	10.805661216951316	56.61139020576234	12284.9755859375		None	None	1.0		
<PK:58-581.1.1120: @(1.898, 82.25)>	1120			1.8976750939078872	82.25207255794012	8.45676270098639	60.45434680604822	12038.7880859375		None	None	1.0		
<PK:58-581.1.1121: @(0.929, 82.31)>	1121			0.9285951477479397	82.30585934359156	13.403063162397094	74.59455473883948	12820.865234375		None	None	1.0		
<PK:58-581.1.1122: @(2.878, 82.19)>	1122			2.8776553264358977	82.19482742934265	14.710553491917917	55.88124274862227	19435.666015625		None	None	1.0		
<PK:58-581.1.1123: @(2.846, 82.15)>	1123			2.8456765019949035	82.1508510889199	18.45718361437318	66.00304666547814	30868.87890625		None	None	1.0		
<PK:58-581.1.1124: @(1.542, 82.09)>	1124			1.541734941857957	82.0855901610918	13.634146083719434	67.29058495127221	13323.7216796875		None	None	1.0		
<PK:58-581.1.1125: @(1.592, 81.99)>	1125			1.5921760636167583	81.98828857675156	12.074546434749376	77.53374404358213	14393.1455078125		None	None	1.0		
