_object	#	Pid	_object	Spectrum	PeakList	Assign F1	Assign F2	Pos F1	Pos F2	LW F1 (Hz)	LW F2 (Hz)	Height	HeightError	S/N	Volume	VolumeError	ClusterId	Merit	Annotation	Comment
<PK:58-581.1.27: @(3.554, 93.99)>	27	PK:58-581.1.27	<PK:58-581.1.27: @(3.554, 93.99)>	58-581	1			3.5541236172846666	93.99311358580205	36.134357707431626	75.96065187091665	37841.20703125			None		None	1.0		
<PK:58-581.1.28: @(2.779, 93.95)>	28	PK:58-581.1.28	<PK:58-581.1.28: @(2.779, 93.95)>	58-581	1			2.779427671311886	93.95373441572004	92.93539616733011	67.26865402431602	45429.71875			None		None	1.0		
<PK:58-581.1.29: @(2.779, 93.39)>	29	PK:58-581.1.29	<PK:58-581.1.29: @(2.779, 93.39)>	58-581	1			2.779362563950629	93.39247122338213	40.68685946269671	69.12483858682373	303110.84375			None		None	1.0		
<PK:58-581.1.30: @(2.415, 93.53)>	30	PK:58-581.1.30	<PK:58-581.1.30: @(2.415, 93.53)>	58-581	1			2.4154895876494074	93.53446131777417	45.66115780900679	116.4582665203101	35508.9140625			None		None	1.0		
<PK:58-581.1.31: @(2.9, 93.38)>	31	PK:58-581.1.31	<PK:58-581.1.31: @(2.9, 93.38)>	58-581	1			2.8998642238707006	93.38059564723224	46.09928239519008	69.46874681285624	356123.0			None		None	1.0		
<PK:58-581.1.32: @(0.873, 92.91)>	32	PK:58-581.1.32	<PK:58-581.1.32: @(0.873, 92.91)>	58-581	1			0.8732180517644714	92.90980053818991	30.32638536145285	51.512739673030204	38447.25390625			None		None	1.0		
<PK:58-581.1.33: @(-0.323, 92.94)>	33	PK:58-581.1.33	<PK:58-581.1.33: @(-0.323, 92.94)>	58-581	1			-0.3227845825989295	92.94466572277858	34.227829951888424	64.04605536983972	150486.921875			None		None	1.0		
<PK:58-581.1.34: @(0.746, 92.67)>	34	PK:58-581.1.34	<PK:58-581.1.34: @(0.746, 92.67)>	58-581	1			0.7463588073463985	92.6712526929963	34.23661184616572	69.8209904096507	165600.828125			None		None	1.0		
<PK:58-581.1.35: @(1.27, 92.53)>	35	PK:58-581.1.35	<PK:58-581.1.35: @(1.27, 92.53)>	58-581	1			1.2700253179660255	92.52679710706266	42.91425769527746	71.04925719574676	70777.2890625			None		None	1.0		
<PK:58-581.1.36: @(0.626, 92.55)>	36	PK:58-581.1.36	<PK:58-581.1.36: @(0.626, 92.55)>	58-581	1			0.6261558050467766	92.54858134022881	314.50543648157316	210.97605682472457	33747.515625			None		None	1.0		
<PK:58-581.1.37: @(0.626, 91.99)>	37	PK:58-581.1.37	<PK:58-581.1.37: @(0.626, 91.99)>	58-581	1			0.6261558050467766	91.98583531090148	36.45206109071383	73.77024321863384	137227.03125			None		None	1.0		
<PK:58-581.1.38: @(0.489, 92.44)>	38	PK:58-581.1.38	<PK:58-581.1.38: @(0.489, 92.44)>	58-581	1			0.48922630351938956	92.44259418446728	28.875990746877086	67.37609668368441	285976.125			None		None	1.0		
<PK:58-581.1.39: @(2.521, 92.38)>	39	PK:58-581.1.39	<PK:58-581.1.39: @(2.521, 92.38)>	58-581	1			2.521492017411969	92.38063489006628	36.07113523265485	73.21503064625499	62998.328125			None		None	1.0		
<PK:58-581.1.40: @(1.427, 92.42)>	40	PK:58-581.1.40	<PK:58-581.1.40: @(1.427, 92.42)>	58-581	1			1.426745306980873	92.42205611398282	38.65611357375591	70.15490428336186	153536.15625			None		None	1.0		
<PK:58-581.1.41: @(0.22, 91.88)>	41	PK:58-581.1.41	<PK:58-581.1.41: @(0.22, 91.88)>	58-581	1			0.2197291352797368	91.87873347818481	39.955508560897385	77.95090372367312	123629.9921875			None		None	1.0		
<PK:58-581.1.42: @(1.028, 91.63)>	42	PK:58-581.1.42	<PK:58-581.1.42: @(1.028, 91.63)>	58-581	1			1.0282139500679985	91.62522953410539	37.448444905189305	83.99321129147671	143522.28125			None		None	1.0		
<PK:58-581.1.43: @(0.872, 91.67)>	43	PK:58-581.1.43	<PK:58-581.1.43: @(0.872, 91.67)>	58-581	1			0.8721218588343795	91.66998942212301	30.972723228235992	64.40689734666775	690623.4375			None		None	1.0		
<PK:58-581.1.44: @(0.814, 91.6)>	44	PK:58-581.1.44	<PK:58-581.1.44: @(0.814, 91.6)>	58-581	1			0.8142611260792645	91.60417410753774	-81.29069390587304	69.39749827555855	344687.46875			None		None	1.0		
<PK:58-581.1.45: @(0.469, 91.64)>	45	PK:58-581.1.45	<PK:58-581.1.45: @(0.469, 91.64)>	58-581	1			0.46867292500625446	91.63981049616326	37.62706182897085	78.46543752870886	133800.078125			None		None	1.0		
<PK:58-581.1.46: @(-0.338, 91.58)>	46	PK:58-581.1.46	<PK:58-581.1.46: @(-0.338, 91.58)>	58-581	1			-0.3382297211719205	91.58103905978513	33.6910717380352	62.69577251319683	137479.390625			None		None	1.0		
<PK:58-581.1.47: @(0.69, 91.5)>	47	PK:58-581.1.47	<PK:58-581.1.47: @(0.69, 91.5)>	58-581	1			0.6902768793786738	91.49664400702608	36.06695025108558	90.09162076006399	138843.421875			None		None	1.0		
<PK:58-581.1.48: @(3.915, 91.41)>	48	PK:58-581.1.48	<PK:58-581.1.48: @(3.915, 91.41)>	58-581	1			3.9153311041891534	91.40613620967433	-59.27560134575908	86.63511919336493	38517.35546875			None		None	1.0		
<PK:58-581.1.49: @(0.6, 91.28)>	49	PK:58-581.1.49	<PK:58-581.1.49: @(0.6, 91.28)>	58-581	1			0.6002844094808957	91.28016000342117	27.52245965007784	70.74739673403523	223913.34375			None		None	1.0		
<PK:58-581.1.50: @(0.369, 91.29)>	50	PK:58-581.1.50	<PK:58-581.1.50: @(0.369, 91.29)>	58-581	1			0.36915948909469165	91.28775451165043	30.143090929740467	81.09855147956668	128123.1171875			None		None	1.0		
<PK:58-581.1.51: @(1.101, 91.22)>	51	PK:58-581.1.51	<PK:58-581.1.51: @(1.101, 91.22)>	58-581	1			1.1011451852770158	91.22045206666425	24.16613726661752	76.38282221482326	412518.0			None		None	1.0		
<PK:58-581.1.52: @(4.124, 91.02)>	52	PK:58-581.1.52	<PK:58-581.1.52: @(4.124, 91.02)>	58-581	1			4.124330549680387	91.02150503892025	43.98914424177157	89.36381341105854	42063.3046875			None		None	1.0		
<PK:58-581.1.53: @(1.173, 90.85)>	53	PK:58-581.1.53	<PK:58-581.1.53: @(1.173, 90.85)>	58-581	1			1.173031835592754	90.84945355070771	33.551146491215725	84.91008184380833	106732.6171875			None		None	1.0		
<PK:58-581.1.54: @(0.805, 90.63)>	54	PK:58-581.1.54	<PK:58-581.1.54: @(0.805, 90.63)>	58-581	1			0.8045442406664645	90.63007686111905	23.952259932859548	73.44587860463054	279543.40625			None		None	1.0		
<PK:58-581.1.55: @(0.921, 90.36)>	55	PK:58-581.1.55	<PK:58-581.1.55: @(0.921, 90.36)>	58-581	1			0.9213834024554579	90.3590295010615	23.923278487741147	80.33976973095798	287566.21875			None		None	1.0		
<PK:58-581.1.56: @(0.03, 90.4)>	56	PK:58-581.1.56	<PK:58-581.1.56: @(0.03, 90.4)>	58-581	1			0.029567377335890654	90.40117470148863	30.968672572038063	69.58972433397157	164320.0625			None		None	1.0		
<PK:58-581.1.57: @(0.71, 90.18)>	57	PK:58-581.1.57	<PK:58-581.1.57: @(0.71, 90.18)>	58-581	1			0.7104224110453252	90.1848661910779	24.876937879106134	111.31919348567902	220670.203125			None		None	1.0		
<PK:58-581.1.58: @(0.69, 89.88)>	58	PK:58-581.1.58	<PK:58-581.1.58: @(0.69, 89.88)>	58-581	1			0.6896843426597048	89.8805502588253	20.759639879449786	81.1202666040436	240509.53125			None		None	1.0		
<PK:58-581.1.59: @(3.626, 90.05)>	59	PK:58-581.1.59	<PK:58-581.1.59: @(3.626, 90.05)>	58-581	1			3.625987390426678	90.05351141359488	42.24521585572982	80.37385977885575	37075.9296875			None		None	1.0		
<PK:58-581.1.60: @(0.788, 89.9)>	60	PK:58-581.1.60	<PK:58-581.1.60: @(0.788, 89.9)>	58-581	1			0.787518367039965	89.90369818681233	21.096859246683394	65.10603668506718	622372.4375			None		None	1.0		
<PK:58-581.1.61: @(-0.99, 89.81)>	61	PK:58-581.1.61	<PK:58-581.1.61: @(-0.99, 89.81)>	58-581	1			-0.9899618140701332	89.80880627966448	27.674474180317798	65.73959230124984	171994.71875			None		None	1.0		
<PK:58-581.1.62: @(0.043, 89.28)>	62	PK:58-581.1.62	<PK:58-581.1.62: @(0.043, 89.28)>	58-581	1			0.04317804134104364	89.28419325773748	24.660914324414996	64.63698325253836	151184.5625			None		None	1.0		
<PK:58-581.1.63: @(3.093, 89.05)>	63	PK:58-581.1.63	<PK:58-581.1.63: @(3.093, 89.05)>	58-581	1			3.0933530277063372	89.05143132118778	59.52770320268768	74.95202480192884	37100.04296875			None		None	1.0		
<PK:58-581.1.64: @(2.204, 89.06)>	64	PK:58-581.1.64	<PK:58-581.1.64: @(2.204, 89.06)>	58-581	1			2.2043662459567983	89.06292263701033	37.41987837621793	70.23846030580565	44626.45703125			None		None	1.0		
<PK:58-581.1.65: @(0.655, 89.01)>	65	PK:58-581.1.65	<PK:58-581.1.65: @(0.655, 89.01)>	58-581	1			0.6545901608482936	89.00626141237395	36.14839918624891	87.366453564141	134764.65625			None		None	1.0		
<PK:58-581.1.66: @(3.852, 88.91)>	66	PK:58-581.1.66	<PK:58-581.1.66: @(3.852, 88.91)>	58-581	1			3.8518953296331357	88.91088434972899	62.76638342592951	86.57301528612645	42388.1796875			None		None	1.0		
<PK:58-581.1.67: @(0.625, 88.8)>	67	PK:58-581.1.67	<PK:58-581.1.67: @(0.625, 88.8)>	58-581	1			0.6248161464244948	88.79734078976507	28.941189297116676	88.59699976392439	177099.828125			None		None	1.0		
<PK:58-581.1.68: @(4.037, 88.59)>	68	PK:58-581.1.68	<PK:58-581.1.68: @(4.037, 88.59)>	58-581	1			4.037124010331231	88.58967062324936	46.427764643270166	119.4448379569083	80292.0234375			None		None	1.0		
<PK:58-581.1.69: @(0.819, 88.56)>	69	PK:58-581.1.69	<PK:58-581.1.69: @(0.819, 88.56)>	58-581	1			0.8185608401093312	88.55913695416619	28.80487591028209	71.94397427481545	135173.03125			None		None	1.0		
<PK:58-581.1.70: @(2.817, 88.47)>	70	PK:58-581.1.70	<PK:58-581.1.70: @(2.817, 88.47)>	58-581	1			2.8173375971688817	88.47105547097631	37.9362042085864	77.68259380366116	84539.3203125			None		None	1.0		
<PK:58-581.1.71: @(2.621, 88.45)>	71	PK:58-581.1.71	<PK:58-581.1.71: @(2.621, 88.45)>	58-581	1			2.6207053621465057	88.44793545016387	34.08206304391984	74.12375465499403	76656.4921875			None		None	1.0		
<PK:58-581.1.72: @(3.57, 88.22)>	72	PK:58-581.1.72	<PK:58-581.1.72: @(3.57, 88.22)>	58-581	1			3.570065662406561	88.21732021935347	50.46746884592061	82.80753177589982	41673.85546875			None		None	1.0		
<PK:58-581.1.73: @(2.897, 88.23)>	73	PK:58-581.1.73	<PK:58-581.1.73: @(2.897, 88.23)>	58-581	1			2.896950639588658	88.231628013106	37.697979655021214	64.41387720810675	89990.3359375			None		None	1.0		
<PK:58-581.1.74: @(2.253, 88.23)>	74	PK:58-581.1.74	<PK:58-581.1.74: @(2.253, 88.23)>	58-581	1			2.25329102324506	88.2315754188154	35.98205960140773	70.00156313418296	80950.7578125			None		None	1.0		
<PK:58-581.1.75: @(0.569, 88.26)>	75	PK:58-581.1.75	<PK:58-581.1.75: @(0.569, 88.26)>	58-581	1			0.5693090746446074	88.25932481055467	25.89878530647506	76.27246622198469	189552.046875			None		None	1.0		
<PK:58-581.1.76: @(1.337, 88.15)>	76	PK:58-581.1.76	<PK:58-581.1.76: @(1.337, 88.15)>	58-581	1			1.3371580557425204	88.14506961763817	30.00012694452049	71.32189665299916	165430.203125			None		None	1.0		
<PK:58-581.1.77: @(3.477, 88.04)>	77	PK:58-581.1.77	<PK:58-581.1.77: @(3.477, 88.04)>	58-581	1			3.4768582029561834	88.03715901353422	35.27861852676435	78.88503173051915	68197.4140625			None		None	1.0		
<PK:58-581.1.78: @(1.06, 87.78)>	78	PK:58-581.1.78	<PK:58-581.1.78: @(1.06, 87.78)>	58-581	1			1.059744788078321	87.78483200087636	26.149812560432956	76.59520557356595	209532.71875			None		None	1.0		
